Legal Entity Name,"Organization
Marketing Name","Contract
Number","Organization
Type",Plan Type,"Contract
Effective
Date",Tax Status,"Parent
Organization","CMS
Region
Responsible",Enrollment,"Legal Entity
Street","Legal Entity
Street2","Legal Entity
City","Legal
Entity
State
Code","Legal
Entity
Zip","Directory
Contact Title","Directory
Contact Last
Name","Directory
Contact
First
Name","Directory
Contact
Middle
Initial","Directory
Contact
Phone","Directory
Contact
Phone
Ext","Directory
Contact Fax",Directory Contact Email,"Directory
Contact St
Address","Directory
Contact St
Address2","Directory
Contact City","Directory
Contact
State","Directory
Contact
Zip","Directory
Contact
Last
Update",contractId,planId,pbpStatus,lastUpdatedAt,retail_pharmacy_network,mail_order_1mo_supply,mail_order_3mo_supply,insulin_retail_1mo,insulin_mail_1mo,moop_lower,moop_intermediate,moop_mandatory
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,076,Submitted,8/7/2024 11:20:57 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,077,Submitted,8/7/2024 5:47:38 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,078,Submitted,8/7/2024 5:47:41 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,079,Submitted,8/7/2024 5:47:42 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,801,Submitted,5/30/2024 2:57:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,802,Submitted,5/30/2024 2:57:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,804,Submitted,5/30/2024 2:57:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHA HMO, INC.",Humana,H0028,Local CCP,HMO/HMOPOS,01/01/2013,For Profit,Humana Inc.,Kansas City,368307,"500 W.  Main
Street", ,Louisville,KY,40202,"Associate
Director",Richter,Lisa, ,1-800-448-6262, , ,lrichter@humana.com,"101 East Main
Street", ,Louisville,KY,40202,06/21/2022,H0028,805,Submitted,5/30/2024 2:57:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHAMPION HEALTH PLAN
OF CALIFORNIA INC",Champion Heath Plan,H6170,Local CCP,HMO/HMOPOS,01/01/2024,For Profit,"Champion Health
Plans-USA, LLC.",Dallas,180,"19700 Fairchild
Road,",Suite 230,Irvine,CA,92612,VP,Reed,Mechelle, ,1-562-454-9103, ,1-949-998-9856,jay.davis@championpayer.com,"5000 Airport
Plaza Drive",Suite 100,Long Beach,CA,90815,03/26/2025,H6170,001,Submitted,8/13/2024 10:15:21 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHAMPION HEALTH PLAN
OF CALIFORNIA INC",Champion Heath Plan,H6170,Local CCP,HMO/HMOPOS,01/01/2024,For Profit,"Champion Health
Plans-USA, LLC.",Dallas,180,"19700 Fairchild
Road,",Suite 230,Irvine,CA,92612,VP,Reed,Mechelle, ,1-562-454-9103, ,1-949-998-9856,jay.davis@championpayer.com,"5000 Airport
Plaza Drive",Suite 100,Long Beach,CA,90815,03/26/2025,H6170,002,Submitted,8/13/2024 10:15:21 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHAMPION HEALTH PLAN
OF CALIFORNIA INC",Champion Heath Plan,H6170,Local CCP,HMO/HMOPOS,01/01/2024,For Profit,"Champion Health
Plans-USA, LLC.",Dallas,180,"19700 Fairchild
Road,",Suite 230,Irvine,CA,92612,VP,Reed,Mechelle, ,1-562-454-9103, ,1-949-998-9856,jay.davis@championpayer.com,"5000 Airport
Plaza Drive",Suite 100,Long Beach,CA,90815,03/26/2025,H6170,003,Submitted,8/13/2024 10:15:21 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHEROKEE NATION
COMPREHENSIVE CARE
AGENCY",Cherokee Elder Care,H4142,"National
PACE",National PACE,08/01/2008,Not-for-Profit/Non-Profit,"Cherokee Nation
Comprehensive Care
Agency",Dallas,181,1387 W 4th St., ,Tahlequah,OK,74464,"Interim Ex
Director",Echols,Ashley, ,1-918-453-5554,4226,1-918-207-0141,ashley-echols@cherokee.org,1387 W 4th Street, ,Tahlequah,OK,74464,03/25/2025,H4142,001,Submitted,5/28/2024 3:52:49 PM EDT,,,,,,,,
"CHEROKEE NATION
COMPREHENSIVE CARE
AGENCY",Cherokee Elder Care,H4142,"National
PACE",National PACE,08/01/2008,Not-for-Profit/Non-Profit,"Cherokee Nation
Comprehensive Care
Agency",Dallas,181,1387 W 4th St., ,Tahlequah,OK,74464,"Interim Ex
Director",Echols,Ashley, ,1-918-453-5554,4226,1-918-207-0141,ashley-echols@cherokee.org,1387 W 4th Street, ,Tahlequah,OK,74464,03/25/2025,H4142,002,Submitted,5/28/2024 3:52:49 PM EDT,,,,,,,,
"CHINATOWN SERVICE
CENTER",www.cscpace.org,H9360,"National
PACE",National PACE,01/01/2025,Not-for-Profit/Non-Profit,"CHINATOWN
SERVICE CENTER","San
Francisco",11,767 N. Hill Street,Suite 400,Los Angeles,CA,90012,COO,Cheng,Jack, ,1-213-808-1709, , ,jacheng@cscla.org,767 N. Hill Street,Suite 400,Los Angeles,CA,90012,12/16/2021,H9360,001,Submitted,11/7/2024 12:01:56 PM EST,,,,,,,,
"CHINATOWN SERVICE
CENTER",www.cscpace.org,H9360,"National
PACE",National PACE,01/01/2025,Not-for-Profit/Non-Profit,"CHINATOWN
SERVICE CENTER","San
Francisco",11,767 N. Hill Street,Suite 400,Los Angeles,CA,90012,COO,Cheng,Jack, ,1-213-808-1709, , ,jacheng@cscla.org,767 N. Hill Street,Suite 400,Los Angeles,CA,90012,12/16/2021,H9360,002,Submitted,11/7/2024 11:47:00 AM EST,,,,,,,,
"CHINESE COMMUNITY
HEALTH PLAN","CCHP (Chinese
Community Health Plan)",H0571,Local CCP,HMO/HMOPOS,08/01/1994,For Profit,"Chinese Hospital
Association","San
Francisco",5807,"445 Grant
Avenue",Suite 700,"SAN
FRANCISCO",CA,94108,"Chief Operations
Officer",G,Ketan, ,1-628-228-3241, ,1-415-955-8818,youngsoo.cho@cchphealthplan.com,"445 Grant
Avenue",Suite 700,San Francisco,CA,94108,01/03/2025,H0571,001,Submitted,8/7/2024 6:07:32 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHINESE COMMUNITY
HEALTH PLAN","CCHP (Chinese
Community Health Plan)",H0571,Local CCP,HMO/HMOPOS,08/01/1994,For Profit,"Chinese Hospital
Association","San
Francisco",5807,"445 Grant
Avenue",Suite 700,"SAN
FRANCISCO",CA,94108,"Chief Operations
Officer",G,Ketan, ,1-628-228-3241, ,1-415-955-8818,youngsoo.cho@cchphealthplan.com,"445 Grant
Avenue",Suite 700,San Francisco,CA,94108,01/03/2025,H0571,005,Submitted,8/7/2024 6:07:32 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHINESE COMMUNITY
HEALTH PLAN","CCHP (Chinese
Community Health Plan)",H0571,Local CCP,HMO/HMOPOS,08/01/1994,For Profit,"Chinese Hospital
Association","San
Francisco",5807,"445 Grant
Avenue",Suite 700,"SAN
FRANCISCO",CA,94108,"Chief Operations
Officer",G,Ketan, ,1-628-228-3241, ,1-415-955-8818,youngsoo.cho@cchphealthplan.com,"445 Grant
Avenue",Suite 700,San Francisco,CA,94108,01/03/2025,H0571,007,Submitted,8/7/2024 6:07:32 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHINESE COMMUNITY
HEALTH PLAN","CCHP (Chinese
Community Health Plan)",H0571,Local CCP,HMO/HMOPOS,08/01/1994,For Profit,"Chinese Hospital
Association","San
Francisco",5807,"445 Grant
Avenue",Suite 700,"SAN
FRANCISCO",CA,94108,"Chief Operations
Officer",G,Ketan, ,1-628-228-3241, ,1-415-955-8818,youngsoo.cho@cchphealthplan.com,"445 Grant
Avenue",Suite 700,San Francisco,CA,94108,01/03/2025,H0571,010,Submitted,8/7/2024 6:07:33 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CHINESE COMMUNITY
HEALTH PLAN","CCHP (Chinese
Community Health Plan)",H0571,Local CCP,HMO/HMOPOS,08/01/1994,For Profit,"Chinese Hospital
Association","San
Francisco",5807,"445 Grant
Avenue",Suite 700,"SAN
FRANCISCO",CA,94108,"Chief Operations
Officer",G,Ketan, ,1-628-228-3241, ,1-415-955-8818,youngsoo.cho@cchphealthplan.com,"445 Grant
Avenue",Suite 700,San Francisco,CA,94108,01/03/2025,H0571,011,Submitted,8/7/2024 6:07:33 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,002,Submitted,8/7/2024 12:32:03 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,003,Submitted,8/7/2024 12:32:07 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,004,Submitted,8/7/2024 12:32:10 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,005,Submitted,8/7/2024 12:32:06 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,007,Submitted,8/5/2024 5:02:22 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,008,Submitted,8/5/2024 5:02:25 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,009,Submitted,8/7/2024 12:32:03 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
CHRISTUS HEALTH PLAN,"CHRISTUS Health
Advantage",H1189,Local CCP,HMO/HMOPOS,01/01/2015,Not-for-Profit/Non-Profit,CHRISTUS Health,Dallas,7002,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,"Chief
Administrative
Offi",Hefton,Ronda, ,1-844-282-3026, , ,ronda.hefton@christushealth.org,"5101 N.
O'Connor Blvd", ,Irving,TX,75039,02/06/2024,H1189,010,Submitted,8/7/2024 12:32:10 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,001,Submitted,8/5/2024 7:56:13 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,003,Submitted,8/5/2024 7:56:13 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,004,Submitted,8/5/2024 7:56:13 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,005,Submitted,8/5/2024 7:56:13 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,006,Submitted,8/5/2024 7:24:11 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,008,Submitted,8/5/2024 7:56:13 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,009,Submitted,8/5/2024 7:56:13 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,010,Submitted,8/5/2024 7:56:20 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,011,Submitted,8/5/2024 7:24:08 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,013,Submitted,8/5/2024 7:24:10 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,014,Submitted,8/5/2024 7:24:10 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,015,Submitted,8/5/2024 7:24:10 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,016,Submitted,8/5/2024 7:24:10 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,017,Submitted,8/5/2024 7:24:19 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,018,Submitted,8/5/2024 7:24:19 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,019,Submitted,8/5/2024 7:56:20 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,020,Submitted,8/5/2024 7:56:20 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,021,Submitted,8/5/2024 7:56:21 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,022,Submitted,8/5/2024 7:56:21 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CIGNA HEALTHCARE OF
COLORADO, INC.",Cigna Healthcare,H0672,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,The Cigna Group,New York,17406,"3900 East
Mexico Avenue,
Suite 1100", ,Denver,CO,80210,"Customer Service
Senior M",Rich,Jared,R,1-615-636-4554, , ,jared.rich@cignahealthcare.com,"500 Great Circle
Road", ,Nashville,TN,37228,03/25/2025,H0672,801,Submitted,5/30/2024 9:12:22 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CLEAR SPRING HEALTH
(CO), INC.",Clear Spring Health,H6379,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,Group 1001,Chicago,1994,"250 South
Northwest
Highway",Suite 302,Park Ridge,IL,60068,"Vice President,
Provider",Cuevas,Elizabeth, ,1-754-208-5880, , ,Elizabeth.Cuevas@clearspringhealthcare.com,"250 South
Northwest
Highway Suite
302",Suite 302,Park Ridge,IL,60068,03/16/2022,H6379,001,Submitted,8/6/2024 4:01:23 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CLEAR SPRING HEALTH
(CO), INC.",Clear Spring Health,H6379,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,Group 1001,Chicago,1994,"250 South
Northwest
Highway",Suite 302,Park Ridge,IL,60068,"Vice President,
Provider",Cuevas,Elizabeth, ,1-754-208-5880, , ,Elizabeth.Cuevas@clearspringhealthcare.com,"250 South
Northwest
Highway Suite
302",Suite 302,Park Ridge,IL,60068,03/16/2022,H6379,002,Submitted,8/6/2024 4:01:32 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"CLEAR SPRING HEALTH
(GA), INC.",Clear Spring Health,H6672,Local CCP,HMO/HMOPOS,01/01/2017,For Profit,Group 1001,Chicago,2976,"3620 Enterprise
Way", ,Miramar,FL,33025,"Vice President,
Provider",Cuevas,Elizabeth, ,1-754-208-5880, , ,Elizabeth.Cuevas@clearspringhealthcare.com,"250 South
Northwest
Highway Suite
302",Suite 302,Park Ridge,IL,60068,03/16/2022,H6672,003,Submitted,8/6/2024 4:01:32 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
